Название,Год (дата) открытия,Адрес,Год (дата) закрытия,group,geo_group,lat,lon,referent_lat,referent_lon,referent_country,year,close_year,status,decade
Тула,1988,"Кухмистерова, 4",,city,РСФСР,55.6858606,37.7186241,54.19609,37.61822,RU,1988,,работает,1980
Ашхабад,1973.02[24],"Чертановская, 17а",2012.09,city,союзная республика,55.6241173,37.5954202,37.95,58.38333,TM,1973,2012,закрыт,1970
Баку,1974,"Усиевича, 12/14",2019,city,союзная республика,55.8040678,37.5334278,40.37767,49.89201,AZ,1974,2019,закрыт,1970
Брест,1967,"Ярцевская, 21",2015.08.28,city,союзная республика,55.7359258,37.4086052,52.10894,23.71749,BY,1967,2015,закрыт,1960
Будапешт,1981,"Лескова, 14",2011,city,соцстрана,55.8973764,37.6045115,47.49835,19.04045,HU,1981,2011,закрыт,1980
Варшава,1970,"площадь Ганецкого, 1",2014.03,city,соцстрана,55.8210035,37.4991229,52.22977,21.01178,PL,1970,2014,закрыт,1970
Волгоград,1987,"Ферганская, 17",2009,city,РСФСР,55.7064351,37.8191832,48.71378,44.4976,RU,1987,2009,закрыт,1980
Гавана,1986,"Шереметьевская, 2",2011,city,соцстрана,55.8103342,37.6168206,23.13302,-82.38304,CU,1986,2011,закрыт,1980
Ереван,1970.08,"Дмитровское шоссе, 82",1990-е,city,союзная республика,55.865059,37.5494034,40.17765,44.5126,AM,1970,1990,закрыт,1970
Керчь,1979,"Бирюлёвская улица, 17",2018,city,союзная республика,55.5955562,37.6641145,45.35675,36.47542,UA,1979,2018,закрыт,1970
Киев,1957.08.15[9],"Кутузовский проспект, 30",,city,союзная республика,55.7411593,37.5366098,50.45466,30.5238,UA,1957,1997,закрыт,1950
Кишинёв,1966,"улица Юных Ленинцев, 12",,city,союзная республика,55.6985048,37.7415586,47.00902,28.85938,MD,1966,2000,закрыт,1960
Ленинград,1959.01.13,"Новопесчаная улица, 12",2011.03.01,city,РСФСР,55.7987821,37.5133677,59.93863,30.31413,RU,1959,2011,закрыт,1950
Минск,1972.10[33],"Можайское шоссе, 54",2005,city,союзная республика,55.7166236,37.4008379,53.90019,27.56653,BY,1972,2005,закрыт,1970
Одесса,1966,"улица Каховка, 21",,city,союзная республика,55.65282,37.5753265,46.48572,30.74383,UA,1966,2003,закрыт,1960
Прага,1975.07[41],"Нижняя Масловка, 10",2018.04.03,city,соцстрана,55.7926442,37.5779826,50.08804,14.42076,CZ,1975,2018,закрыт,1970
Рига,1966,"Ботаническая улица, 39",2007,city,союзная республика,55.8453647,37.5831728,56.946,24.10589,LV,1966,2007,закрыт,1960
Севастополь,1964,"Большая Черкизовская, 93",,city,союзная республика,55.8015014,37.7334905,44.60795,33.52134,UA,1964,1992,закрыт,1960
София,1977.05[49],"Сиреневый бульвар, 31",2013.12.13,city,соцстрана,55.8037728,37.8005656,42.69751,23.32415,BG,1977,2013,закрыт,1970
Таллин,1966,"Севастопольский просп., 33",2012,city,союзная республика,55.6208585,37.5436063,59.43696,24.75353,EE,1966,2012,закрыт,1960
Ташкент,1969,"1-я Новокузьминская улица, 1",2000,city,союзная республика,55.7172214,37.7837754,41.26465,69.21627,UZ,1969,2000,закрыт,1960
Тбилиси,1968,"Новочерёмушкинская ул., 53а",2005,city,союзная республика,55.6717458,37.569786,41.69143,44.83412,GE,1968,2005,закрыт,1960
Улан-Батор,1959,"улица Гримау, 12",2013.03.01,city,соцстрана,55.6895423,37.5785342,47.90771,106.88324,MN,1959,2013,закрыт,1950
Ханой,1984.12.30,"Литовский бульвар, 7",2008,city,соцстрана,55.6137577,37.5388227,21.0245,105.84117,VN,1984,2008,закрыт,1980
